text,label,language,priority
Sector 5 में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Low
Open drains causing problems in Station Road,Sanitation,English,Medium
Old City में बिजली का खंभा टूट गया है,Electricity,Hindi,Medium
Water leakage from pipeline in Rajendra Nagar,Water,English,Low
Shivaji Colony में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Medium
Village Area में पानी की सप्लाई नहीं है,Water,Hindi,Medium
Low water pressure in Station Road,Water,English,Low
Ward 12 में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Water tank is overflowing in Rajendra Nagar,Water,English,High
Waste dumping issue in Village Area,Sanitation,English,Medium
Street lights are not working in Industrial Area,Electricity,English,Medium
Pipeline burst near Green Park,Water,English,High
Old City में पानी की कमी है,Water,Hindi,Low
MG Road में लो वोल्टेज की समस्या है,Electricity,Hindi,Medium
Sector 5 में सड़क पर पानी भर गया है,Roads,Hindi,Medium
Old City में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Low
Dirty water coming in taps at Village Area,Water,English,Medium
Shivaji Colony में कई घंटों से बिजली नहीं है,Electricity,Hindi,Low
Road cracks reported in City Center,Roads,English,Low
Shivaji Colony में मच्छरों की समस्या बढ़ रही है,Sanitation,Hindi,Medium
MG Road में मच्छरों की समस्या बढ़ रही है,Sanitation,Hindi,Low
Traffic issue due to bad roads in City Center,Roads,English,Low
Potholes on road near City Center,Roads,English,Medium
Government office not responding in MG Road,Public Services,English,Low
Uneven road surface in Old City,Roads,English,Low
Overflowing garbage bins in Shivaji Colony,Sanitation,English,High
Road is damaged in Green Park,Roads,English,Medium
Open drains causing problems in Rajendra Nagar,Sanitation,English,Low
Subhash Chowk में बिजली का खंभा टूट गया है,Electricity,Hindi,Low
Nehru Nagar में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
Dirty water coming in taps at Old City,Water,English,Medium
Old City में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Medium
Drain blockage reported in Station Road,Sanitation,English,Medium
Garbage has not been collected in Subhash Chowk,Sanitation,English,Low
School facility complaint in Ward 12,Public Services,English,Medium
Broken road causing accidents in MG Road,Roads,English,High
Green Park में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Low
Shivaji Colony में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Low
Low water pressure in Station Road,Water,English,Low
Green Park में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Rajendra Nagar में कचरा फैलाया जा रहा है,Sanitation,Hindi,Medium
Delay in government service at Nehru Nagar,Public Services,English,Medium
Unclean streets in Subhash Chowk,Sanitation,English,Low
Mosquito problem due to dirty drains in Shivaji Colony,Sanitation,English,Medium
Old City में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Medium
City Center में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Medium
Shivaji Colony में कचरा फैलाया जा रहा है,Sanitation,Hindi,Low
Station Road में अस्पताल सेवा की समस्या है,Public Services,Hindi,Medium
Ward 12 में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Civil Lines में पीने का पानी नहीं है,Water,Hindi,Medium
MG Road में कचरा नहीं उठाया गया,Sanitation,Hindi,Medium
Low water pressure in Main Market,Water,English,Low
Road cracks reported in MG Road,Roads,English,Low
Water contamination issue in Village Area,Water,English,Low
Ward 12 में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Rajendra Nagar में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Low
School facility complaint in Old City,Public Services,English,Low
No drinking water in Ward 12,Water,English,Low
Street lights are not working in Nehru Nagar,Electricity,English,Medium
School facility complaint in Subhash Chowk,Public Services,English,Medium
Subhash Chowk की सड़कें गंदी हैं,Sanitation,Hindi,Medium
Transformer exploded near Industrial Area,Electricity,English,High
Old City में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Low
Subhash Chowk में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Low
City Center में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
School facility complaint in Shivaji Colony,Public Services,English,Medium
Ward 12 में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Medium
Industrial Area में सड़क असमान है,Roads,Hindi,Low
Frequent voltage fluctuations in Nehru Nagar,Electricity,English,Medium
